school_name,total_crashes_2mi,ksi_crashes_2mi,ksi_rate_pct
Unknown,11704,204,1.7
Flora Thew Elementary School,2327,50,2.1
ASU Preparatory Academy Digital,3655,40,1.1
Avalon Childcare Academy #2,2284,36,1.6
EVIT - Tempe High School,985,36,3.7
Emmanuel Lutheran School,2014,34,1.7
North Tempe MCHS,1355,34,2.5
Asu Preparatory Academy,1272,34,2.7
Phoenix Metro Islamic School,2046,31,1.5
Mi Escuelita Child Care,821,29,3.5
Scales Technology Academy,1272,28,2.2
Student Choice High School,645,28,4.3
New School for the Arts,1853,26,1.4
Kyrene Digital Academy,635,23,3.6
International Commerce High School - Tempe,869,22,2.5
Holdeman Elementary School,745,21,2.8
Cactus Preschool II,623,21,3.4
Wood School,631,20,3.2
Our Lady of Mount Carmel Catholic School,1022,19,1.9
Banner Childrens Academy,630,19,3.0
Tots Unlimited #30,597,18,3.0
ABA Chandler,742,17,2.3
Westside Generational MCHS,708,15,2.1
Calvery Academy,392,14,3.6
Evans Elementary School,725,13,1.8
Intervention Learning Program,624,11,1.8
Pinnacle High School - Tempe,598,11,1.8
Kino Academy,583,11,1.9
E-Institute - Tempe,696,11,1.6
ACCEL East Campus,477,10,2.1
Carminati School,264,10,3.8
Skyline Prep and Arts Academy,491,10,2.0
Kyrene de los Ninos School,366,9,2.5
Kyrene del Cielo School,479,9,1.9
S.E.L.F. Program,290,9,3.1
Montezuma Middle School,356,9,2.5
Jordan Elementary School,335,9,2.7
Connolly Middle School,98,9,9.2
Desert Garden Montessori School,409,8,2.0
ABC Preschool,453,8,1.8
Chrysalis Academy,532,7,1.3
Valley Christian Elementary School,238,7,2.9
Imagine Tempe,185,7,3.8
Meyer Montessori,401,7,1.7
EVIT - Compadre High School,395,7,1.8
Mesa Montessori,95,7,7.4
Laird Elementary School,437,6,1.4
Broadmor Elementary School,246,6,2.4
Ladmo Branch - Tempe,475,6,1.3
La Mesita Head Start,209,6,2.9
Aguilar School,133,6,4.5
S.E.L.F.  A Program,169,6,3.6
Fuller Elementary School,75,6,8.0
Tempe Montessori School,555,5,0.9
FBC / ASDB Cooperative Preschool,282,5,1.8
Valley Preparatory Academy,152,5,3.3
Kyrene Middle School,183,5,2.7
Tempe Academy of International Studies McKemy Campus,283,5,1.8
Tempe Thomas J Pappas Regional Elementary School,280,5,1.8
Tempe Adventist Christian School,118,5,4.2
Yavapai Elementary School,155,5,3.2
Joyful Beginnings Academy,295,4,1.4
Cactus Preschool,517,4,0.8
EVIT - Corona Del Sol High School,165,4,2.4
Noor Academy of Arizona,174,4,2.3
Educational Models for Learning -  Arizona,236,4,1.7
Integrity Education Centre,108,4,3.7
Frank Elementary School,123,4,3.3
Gililland Middle School,95,3,3.2
Kyrene de la Mariposa School,50,3,6.0
Suriya Montessori Educational Center,74,3,4.1
Gethsemane Lutheran School,145,3,2.1
EVIT - McClintock High School,107,3,2.8
Guadalupe Regional High School,63,3,4.8
Austin Centers For Exceptional Students - Tempe Campus,397,2,0.5
AZ Aspire Academy - Tempe,78,2,2.6
Kyrene del Norte School,60,2,3.3
Kyrene de las Manitas School,133,2,1.5
Marcos De Niza High School,81,1,1.2
Sun Tykes Center for Children,128,1,0.8
Great Hearts Online - Arizona,20,1,5.0
Getz School,46,1,2.2
Arredondo Elementary School,46,1,2.2
The French American School of Arizona,27,1,3.7
Roosevelt Elementary School,10,1,10.0
Dayspring Preschool & Kindergarten,69,0,0.0
Rover Elementary School,39,0,0.0
Desert Heights Academy - Compadre,16,0,0.0
Tonalea K-8,45,0,0.0
Tempe Preparatory Academy,65,0,0.0
Bustoz School,28,0,0.0
Hudson Elementary School,20,0,0.0
Az Aspire Academy,2,0,0.0
Grace Community Christian School,32,0,0.0
Compadre MCHS,13,0,0.0
Chandler Traditional Academy - Goodman,3,0,0.0
Curry Elementary School,1,0,0.0
Ward Traditional Academy,17,0,0.0
Fees College Preparatory Middle School,7,0,0.0
Washington Elementary School,3,0,0.0
Tempe-Curry Head Start,19,0,0.0
Bethany Christian School,14,0,0.0
Grand Canyon College Preparatory Charter School,4,0,0.0
Tempe Elementary Online Community,3,0,0.0
Crossroads Community School,1,0,0.0
Autism Academy for Education and Development-Tempe,2,0,0.0
