latitude,longitude,canonical_name,merged_aliases
33.349595,-111.913789,Center for Educational Excellence,"Allen-Cochran Enterprises, Inc."
33.44656,-111.977571,Archway Classical Academy Trivium West,Great Hearts Academy - Archway North Phoenix
33.418145,-111.961648,Banner Academy,Banner Children's Academy of Education & Development | Banner Childrens Academy
33.420739,-111.968794,"Borg Holdings, Inc. dba Sunrise Preschool","Suntots, Inc. dba Tots Unlimited"
33.362731,-111.908838,ABA Chandler,"CBHSP Arizona, Inc./LifeShare Educational Resources"
33.465095,-111.977189,Sonoran Science Academy - Phoenix,Daisy Education Corporation dba Sonoran Science Academy - Phoenix
33.380295,-111.969089,The Early Career Academy,"ECA - Arizona, Inc."
33.394095,-111.894489,Valley Preparatory Academy,Educational Options Foundation | EdOptions HS Learning Center
33.449905,-111.924912,Student Choice High School,"GAR, LLC dba Student Choice High School | DRP Placeholder - GAR, LLC dba Student Choice High School"
33.350695,-111.914389,Grand Canyon College Preparatory Charter School,Global Renaissance Academy of Distinguished Education
33.364176,-111.927196,Sun Tykes Center for Children,"Kid's Corner, LLC dba Sun Tykes Center for Children"
33.393295,-111.971789,Pinnacle Online High School,"Pinnacle Education-Tempe, Inc. | Pinnacle High School - Tempe"
33.392595,-111.918289,Tempe Preparatory Academy,Tempe Preparatory Junior Academy
33.41077,-111.889452,ACES-Tempe,Austin Centers For Exceptional Students - Tempe Campus
33.354195,-111.975389,Valiant Academy,Ahwatukee Foothills Prep Early College High | BASIS Ahwatukee
33.364919,-111.94862,Compadre High School,ASU Preparatory Academy Compadre | EVIT - Compadre High School | TAPBI
33.342395,-111.921789,C I Waggoner School,Kyrene Middle School
33.371407,-111.950579,Getz School,City of Tempe Kid Zone Preschool
33.326122,-111.926795,Corona Del Sol High School,EVIT - Corona Del Sol High School
33.383595,-111.934089,Evans Elementary School,Desert Choice Schools - Evans Learning Center
33.415279,-111.902061,Esperanza Prep,Tempe Thomas J Pappas Regional Elementary School
33.365248,-111.921503,Marcos De Niza High School,EVIT - Marcos De Niza High School
33.398201,-111.906601,Mcclintock High School,EVIT - McClintock High School
33.409597,-111.941726,Tempe High School,EVIT - Tempe High School
33.370153,-111.963103,Guadalupe Head Start,Frank MCHS
33.406895,-111.922189,Humanities and Sciences Academy Arizona,Humanities and Science High School - Tempe | International Commerce High School - Tempe
33.353099,-111.884143,Jordan Head Start,Jordan Center for Early Education | Jordan Elementary School
33.379695,-111.894589,Montezuma Middle School,Leona Advanced Virtual Academy
33.403862,-111.935332,Mckemy Middle School,Tempe Academy of International Studies McKemy Campus
33.415095,-111.919189,New School for the Arts,New School for the Arts Middle School
33.459013,-111.937378,Tonalea K-8,Supai Middle School
33.40331,-111.893297,The French American School of Arizona,The French American Academy of Arizona
